,2,3,4,5,6,7,8,9,10,11,12,13
0,2152,4,1997,1,70,1004,352,323,329,637,160,207
1,2100,24,1745,-1,16,809,393,347,69,354,286,169
2,2088,16,1779,0,41,869,446,322,101,431,259,179
3,2039,19,1785,2,53,631,294,239,98,305,177,149
4,2033,7,1939,-1,5,715,314,282,119,418,132,165
5,2013,8,1912,2,44,836,376,303,157,445,163,228
6,1982,4,1980,5,26,1075,469,494,112,630,201,244
7,1981,5,1983,1,14,1034,359,397,278,553,223,258
8,1973,20,1797,7,82,840,382,375,83,387,278,175
9,1950,15,1841,-5,-68,835,393,340,102,424,229,182
10,1936,8,1908,0,-29,975,428,392,155,565,210,200
11,1936,12,1877,-2,-31,947,313,405,229,416,302,229
12,1928,50,1599,-6,-57,584,167,209,208,231,195,158
13,1891,20,1778,0,-13,928,279,250,399,482,236,210
14,1890,27,1682,0,-8,821,395,364,62,291,352,178
15,1849,16,1797,2,-15,1062,462,478,122,521,312,229
16,1833,22,1665,8,50,676,317,335,24,216,314,146
17,1825,12,1876,-5,-95,336,137,143,56,175,72,89
18,1815,27,1676,2,8,791,306,284,201,300,318,173
19,1814,34,1729,-1,-41,278,128,115,35,126,74,78
20,1801,42,1609,5,22,601,264,268,69,231,226,144
21,1799,41,1638,15,72,731,420,233,78,319,259,153
22,1796,29,1710,1,6,859,367,386,106,372,275,212
23,1794,66,1504,14,68,533,168,188,177,159,242,132
24,1793,40,1651,7,54,615,208,176,231,344,124,147
25,1787,34,1673,-9,-79,648,245,231,172,209,280,159
26,1784,20,1783,-4,-7,799,281,391,127,370,250,179
27,1772,23,1755,5,34,732,198,339,195,259,279,194
28,1769,62,1484,1,25,751,296,181,274,357,235,159
29,1768,13,1858,4,32,818,332,391,95,396,245,177
30,1766,86,1408,-11,-64,420,160,159,101,108,219,93
31,1761,36,1682,-5,-10,978,318,236,424,531,207,240
32,1748,51,1628,-4,2,604,229,217,158,261,182,161
33,1747,20,1809,-3,6,803,404,356,43,336,294,173
34,1744,22,1741,-13,-50,737,276,344,117,381,165,191
35,1741,19,1837,19,122,978,437,469,72,465,306,207
36,1738,38,1614,2,15,833,394,389,50,303,344,186
37,1733,57,1585,-10,-33,612,197,233,182,264,176,172
38,1729,37,1652,1,17,556,234,204,118,283,155,118
39,1685,62,1494,9,37,768,315,402,51,198,412,158
40,1679,44,1652,6,18,642,277,206,159,301,154,187
41,1678,14,1879,8,37,798,373,380,45,378,246,174
42,1672,40,1666,-2,-39,643,220,248,175,294,164,185
43,1661,49,1549,13,53,596,270,267,59,221,228,147
44,1656,38,1685,-10,-78,310,133,143,34,124,111,75
45,1656,95,1404,1,-14,600,279,131,190,249,197,154
46,1650,52,1602,6,28,681,305,227,149,282,206,193
47,1643,44,1647,8,26,609,207,215,187,305,148,156
48,1632,59,1502,10,37,475,168,182,125,106,253,116
49,1629,27,1720,-8,-72,740,307,351,82,329,228,183
50,1629,47,1621,3,7,684,120,212,352,325,169,190
51,1628,34,1694,-4,-25,714,238,257,219,324,219,171
52,1628,47,1596,6,28,410,128,177,105,153,163,94
53,1628,51,1639,-8,-55,230,93,111,26,88,89,53
54,1622,23,1626,-19,-107,686,347,282,57,241,265,180
55,1617,55,1614,4,31,261,117,119,25,92,105,64
56,1612,80,1417,-14,-73,467,198,224,45,145,235,87
57,1607,48,1619,13,69,475,237,190,48,178,187,110
58,1603,76,1524,11,57,250,118,109,23,77,110,63
59,1602,42,1657,-9,-31,700,223,272,205,343,186,171
60,1602,35,1670,1,17,781,323,255,203,395,200,186
61,1599,60,1503,-10,-31,598,191,197,210,240,200,158
62,1584,104,1411,30,133,232,90,107,35,58,127,47
63,1580,83,1400,-3,-5,628,247,234,147,246,240,142
64,1579,77,1493,3,25,728,291,131,306,353,208,167
65,1568,52,1605,-3,-12,596,162,233,201,258,157,181
66,1567,39,1653,-22,-111,564,257,273,34,154,270,140
67,1566,60,1591,-4,0,302,103,114,85,142,101,59
68,1566,81,1405,-1,8,505,173,175,157,214,182,109
69,1556,75,1491,5,25,352,164,165,23,93,186,73
70,1551,98,1400,5,22,413,149,163,101,138,165,110
71,1550,69,1525,0,13,547,174,209,164,216,190,141
72,1548,101,1343,7,29,509,179,194,136,159,228,122
73,1541,111,1341,-1,7,556,182,144,230,191,211,154
74,1527,71,1545,-6,-24,264,111,128,25,82,124,58
75,1518,55,1624,1,-5,117,61,53,3,40,44,33
76,1505,66,1488,8,22,558,191,168,199,201,209,148
77,1500,38,1637,-12,-60,716,275,367,74,264,279,173
78,1494,131,1182,3,-7,509,205,123,181,186,194,129
79,1491,77,1519,-1,-29,252,96,133,23,77,112,63
80,1489,59,1562,18,60,782,255,327,200,358,220,204
81,1488,28,1721,-9,-46,441,221,146,74,192,126,123
82,1486,64,1502,0,0,393,124,177,92,159,162,72
83,1479,60,1562,-3,-26,483,149,205,129,193,156,134
84,1478,87,1422,0,-5,519,115,197,207,197,194,128
85,1475,107,1398,-21,-86,58,23,18,17,21,27,10
86,1475,69,1475,-2,-9,606,187,182,237,208,268,130
87,1474,116,1299,-1,-1,484,175,156,153,163,185,136
88,1472,100,1384,5,23,588,252,128,208,231,209,148
89,1470,47,1604,0,10,667,248,213,206,336,189,142
90,1464,107,1361,-2,0,300,119,127,54,72,156,72
91,1456,84,1463,0,0,17,5,3,9,9,6,2
92,1453,71,1491,-15,-68,662,233,227,202,281,207,174
93,1446,76,1467,1,0,329,120,112,97,153,97,79
94,1444,124,1281,10,37,189,63,71,55,65,80,44
95,1442,70,1527,0,8,541,143,228,170,204,178,159
96,1434,95,1413,-7,-26,405,165,140,100,137,152,116
97,1434,95,1383,5,20,432,148,151,133,180,146,106
98,1424,102,1424,1,0,4,2,0,2,3,0,1
99,1422,120,1291,4,14,454,140,107,207,186,174,94
100,1411,121,1245,6,12,240,18,94,128,67,111,62
101,1405,91,1350,-6,-29,483,209,228,46,121,255,107
102,1404,79,1469,0,-8,475,179,193,103,192,151,132
103,1391,88,1377,7,11,691,264,249,178,262,262,167
104,1389,82,1472,-4,-27,670,236,158,276,285,210,175
105,1386,87,1458,32,106,470,146,178,146,167,190,113
106,1386,108,1245,16,47,416,225,176,15,38,328,50
107,1386,157,1096,4,2,240,75,87,78,40,144,56
108,1381,117,1313,14,46,245,103,90,52,65,110,70
109,1375,58,1599,3,0,402,50,140,212,174,117,111
110,1375,107,1397,2,-1,274,91,134,49,55,147,72
111,1372,101,1370,-14,-60,302,109,109,84,117,118,67
112,1370,87,1461,8,28,391,141,163,87,140,119,132
113,1370,125,1170,1,0,130,54,33,43,53,53,24
114,1367,78,1488,-6,-26,434,169,175,90,164,165,105
115,1365,99,1382,-9,-34,378,212,160,6,74,240,64
116,1360,110,1313,-11,-44,337,132,107,98,92,153,92
117,1360,59,1505,1,14,776,317,320,139,338,274,164
118,1358,78,1483,-31,-109,395,141,146,108,140,162,93
119,1355,124,1284,16,60,160,52,49,59,47,77,36
120,1355,156,1143,12,55,140,64,50,26,35,77,28
121,1351,113,1327,-3,8,602,271,215,116,203,226,173
122,1349,110,1342,3,20,288,127,125,36,77,145,66
123,1347,101,1420,-9,-14,216,81,96,39,51,114,51
124,1342,139,1262,0,11,245,102,105,38,64,113,68
125,1338,82,1398,4,24,408,162,172,74,180,136,92
126,1329,96,1402,10,44,415,195,145,75,151,176,88
127,1328,146,1099,-1,0,203,26,42,135,37,126,40
128,1327,144,1203,15,70,249,86,88,75,79,108,62
129,1322,102,1372,-6,-12,286,110,126,50,82,130,74
130,1319,88,1310,-3,-1,363,141,181,41,94,200,69
131,1316,112,1313,-16,-42,858,355,177,326,323,338,197
132,1298,116,1287,-2,-3,569,208,212,149,164,248,157
133,1291,88,1446,-5,-25,447,158,186,103,141,194,112
134,1291,153,1143,1,-6,297,143,114,40,78,133,86
135,1289,115,1365,6,24,157,36,62,59,62,66,29
136,1285,121,1301,-20,-63,127,31,54,42,27,74,26
137,1281,82,1409,8,27,405,165,190,50,114,194,97
138,1274,119,1322,-20,-69,343,138,144,61,106,152,85
139,1270,81,1442,1,1,444,96,187,161,170,169,105
140,1270,107,1359,0,0,256,79,63,114,129,96,31
141,1264,121,1252,1,0,158,52,55,51,47,80,31
142,1263,119,1251,7,37,233,100,114,19,38,167,28
143,1256,158,1188,-5,-15,143,31,60,52,42,80,21
144,1251,123,1288,16,61,203,49,77,77,62,92,49
145,1249,123,1331,2,16,165,42,70,53,60,75,30
146,1245,150,1184,-14,-54,277,108,117,52,53,140,84
147,1244,124,1298,-14,-54,194,90,69,35,66,89,39
148,1233,132,1241,-4,-22,239,94,103,42,51,131,57
149,1233,192,895,14,45,90,19,25,46,15,51,24
150,1232,144,1015,8,36,204,43,79,82,36,146,22
151,1230,125,1254,-3,0,249,98,53,98,112,90,47
152,1226,133,1192,5,28,209,105,66,38,90,80,39
153,1225,158,1198,-3,0,38,2,10,26,13,16,9
154,1220,105,1408,-8,-19,248,89,122,37,46,143,59
155,1219,118,1321,12,51,405,216,166,23,51,284,70
156,1209,87,1418,-2,0,256,82,80,94,110,99,47
157,1203,142,1218,-2,-4,259,53,76,130,57,154,48
158,1198,114,1317,2,8,531,146,146,239,195,233,103
159,1196,96,1410,-1,0,234,54,69,111,125,75,34
160,1183,133,1248,-7,-29,153,40,53,60,32,88,33
161,1182,121,1287,-5,-19,855,351,216,288,321,337,197
162,1174,154,1108,3,0,191,42,45,104,60,104,27
163,1171,168,1040,0,-11,148,66,50,32,52,73,23
164,1168,120,1295,2,-2,457,159,135,163,164,204,89
165,1165,142,1189,5,7,256,105,94,57,91,117,48
166,1162,145,1188,2,0,188,50,53,85,79,76,33
167,1154,94,1396,-15,-59,260,95,99,66,93,105,62
168,1151,164,1090,4,0,136,24,35,77,45,67,24
169,1150,149,1186,8,27,250,107,106,37,52,125,73
170,1149,103,1346,-6,-30,310,111,118,81,112,126,72
171,1149,142,1029,1,-3,325,82,100,143,77,202,46
172,1143,163,1164,1,0,84,20,27,37,15,50,19
173,1141,100,1306,-22,-79,328,133,136,59,98,166,64
174,1137,131,1234,-5,-22,704,283,161,260,215,344,145
175,1132,166,898,1,-5,131,9,48,74,32,69,30
176,1127,136,1115,-1,-12,95,30,33,32,22,55,18
177,1109,116,1256,3,8,330,152,114,64,106,137,87
178,1105,102,1354,0,-12,708,214,172,322,265,306,137
179,1093,164,1133,-5,-49,209,96,102,11,17,165,27
180,1089,178,1087,2,2,67,20,28,19,12,48,7
181,1082,182,1073,2,25,45,9,18,18,7,31,7
182,1067,173,1061,-1,-25,58,24,24,10,9,43,6
183,1059,161,930,7,84,166,61,61,44,31,110,25
184,1036,124,1246,1,0,217,73,89,55,70,113,34
185,1026,183,1042,-6,-79,179,72,81,26,7,149,23
186,1024,126,1211,0,0,210,58,84,68,48,117,45
187,1023,128,1253,-3,-24,486,87,119,280,203,194,89
188,1009,101,1355,-1,0,306,102,137,67,88,149,69
189,1002,189,1000,-1,0,2,0,0,2,1,0,1
190,996,190,996,-1,0,1,0,1,0,0,1,0
191,963,184,977,0,0,20,2,7,11,5,14,1
192,960,145,1045,0,0,77,12,47,18,17,51,9
193,944,190,885,0,-3,202,52,67,83,56,112,34
194,940,189,596,11,86,51,12,20,19,11,33,7
195,936,190,879,1,19,246,64,68,114,55,148,43
196,921,162,1091,-1,0,123,10,36,77,14,93,16
197,911,120,1211,5,19,178,77,67,34,42,97,39
198,908,180,984,0,0,150,47,46,57,21,104,25
199,906,141,1188,-5,-34,308,83,94,131,88,172,48
200,903,199,899,-1,0,9,0,1,8,4,2,3
201,900,174,872,0,0,92,27,30,35,7,77,8
